locationid,objectid,title,TypesofArt,constituentid,displaydate,forwarddisplayname,preferreddisplayname,displaydate_x,nationality,visualbrowsernationality,displayorder,roletype,role,prefix,suffix,displaydate_y,beginyear,endyear,country,medium,creditline,dimensions,site,room,publicaccess,description,unitposition,iiifurl,iiifthumburl
9032,44433,Prudence Standing between Water and Fire [reverse],Sculpture,2193,c. 1480,Bartolommeo Melioli,"Melioli, Bartolommeo","Mantuan, 1448 - 1514",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 7.14 cm (2 13/16 in.)
gross weight: 111.43 gr (0.246 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/e273f3ed-c03f-49ae-875e-e323e7e4b813,"https://api.nga.gov/iiif/e273f3ed-c03f-49ae-875e-e323e7e4b813/full/!200,200/0/default.jpg"
9032,44438,"Gianfrancesco Gonzaga di Rodigo, 1445-1496, Lord of Bozzolo, Sabbioneta, and Viadana 1478 [obverse]",Sculpture,2004,1486/1490,Antico,Antico,"Mantuan, c. 1460 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 4.06 cm (1 5/8 in.)
gross weight: 34.16 gr (0.075 lb.)
axis: 6:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/f527d7c9-cb31-4599-8c78-656b713c191c,"https://api.nga.gov/iiif/f527d7c9-cb31-4599-8c78-656b713c191c/full/!200,200/0/default.jpg"
9032,44440,"Antonia del Balzo, 1441-1538, Wife of Gianfrancesco Gonzaga di Rodigo 1479 [obverse]",Sculpture,2004,c. 1487,Antico,Antico,"Mantuan, c. 1460 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 4.11 cm (1 5/8 in.)
gross weight: 31.92 gr (0.07 lb.)
axis: 7:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/6d12132c-bfbf-43e8-98c1-59dcf9a5fdca,"https://api.nga.gov/iiif/6d12132c-bfbf-43e8-98c1-59dcf9a5fdca/full/!200,200/0/default.jpg"
9032,44441,Hope on the Prow of a Broken-Masted Vessel [reverse],Sculpture,2004,c. 1487,Antico,Antico,"Mantuan, c. 1460 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 4.11 cm (1 5/8 in.)
gross weight: 31.92 gr (0.07 lb.)
axis: 7:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/77b39e93-34c2-4e65-804c-fb85faa1a488,"https://api.nga.gov/iiif/77b39e93-34c2-4e65-804c-fb85faa1a488/full/!200,200/0/default.jpg"
9032,44442,Diva Giulia [obverse],Sculpture,2004,c. 1490,Antico,Antico,"Mantuan, c. 1460 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 3.49 cm (1 3/8 in.)
gross weight: 29.44 gr (0.029 kg)
axis: 6:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/0f68cb30-dc9c-4d28-aeae-8f641a652330,"https://api.nga.gov/iiif/0f68cb30-dc9c-4d28-aeae-8f641a652330/full/!200,200/0/default.jpg"
9032,44446,Giulia Astallia [obverse],Sculpture,8305,c. 1485,Mantuan 15th Century,Mantuan 15th Century,,Italian,Italian,1,artist,medalist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 6.15 cm (2 7/16 in.)
gross weight: 85.93 gr (0.189 lb.)
axis: 7:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/762a789f-4d42-4863-947f-f390677f7f67,"https://api.nga.gov/iiif/762a789f-4d42-4863-947f-f390677f7f67/full/!200,200/0/default.jpg"
9032,44448,"Isabella d'Este, 1474-1539, Wife of Francesco II Gonzaga of Mantua 1490 [obverse]",Sculpture,2253,1498,Giancristoforo Romano,"Romano, Giancristoforo","Mantuan, c. 1465 - 1512",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 3.93 cm (1 9/16 in.)
gross weight: 25.77 gr (0.057 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/4b5de028-caf1-4a8f-b2a4-b25de550390b,"https://api.nga.gov/iiif/4b5de028-caf1-4a8f-b2a4-b25de550390b/full/!200,200/0/default.jpg"
9032,44449,Winged Victory [reverse],Sculpture,2253,1498,Giancristoforo Romano,"Romano, Giancristoforo","Mantuan, c. 1465 - 1512",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 3.93 cm (1 9/16 in.)
gross weight: 25.77 gr (0.057 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/90ba71b0-855d-4a08-a307-8178524aa649,"https://api.nga.gov/iiif/90ba71b0-855d-4a08-a307-8178524aa649/full/!200,200/0/default.jpg"
9032,44455,Captive Cupid Bound to a Tree [reverse],Sculpture,13,c. 1500,Anonymous Artist,Anonymous Artist,,Unknown,Other,1,artist,sculptor,,,,,,,gilded bronze//Five times pierced,Samuel H. Kress Collection,"overall (diameter): 5.31 cm (2 1/16 in.)
gross weight: 66.01 gr (0.146 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/8061275b-8007-4135-8948-96a430f8b3c7,"https://api.nga.gov/iiif/8061275b-8007-4135-8948-96a430f8b3c7/full/!200,200/0/default.jpg"
9032,44496,Mehmed II Riding [reverse],Sculpture,2071,c. 1477/1480,Costanzo da Ferrara,Costanzo da Ferrara,"Neapolitan, c. 1450 - died after 1524",Italian,Italian,1,artist,medalist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 12.34 cm (4 7/8 in.)
gross weight: 445.3 gr (0.982 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/70d94621-5811-4a8e-954f-baf0c3a7ac21,"https://api.nga.gov/iiif/70d94621-5811-4a8e-954f-baf0c3a7ac21/full/!200,200/0/default.jpg"
